row_id,image_id,filename,caption_index,perturbation,applied,source,target,template_id,template_name,caption_original,caption_corrupted
0,391895,COCO_val2014_000000391895.jpg,0,object_swap,True,man,woman,,,A man with a red helmet on a small moped on a dirt road.,A woman with a red helmet on a small moped on a dirt road.
1,391895,COCO_val2014_000000391895.jpg,1,object_swap,True,Man,Woman,,,Man riding a motor bike on a dirt road on the countryside.,Woman riding a motor bike on a dirt road on the countryside.
2,391895,COCO_val2014_000000391895.jpg,2,object_swap,True,man,woman,,,A man riding on the back of a motorcycle.,A woman riding on the back of a motorcycle.
3,391895,COCO_val2014_000000391895.jpg,3,object_swap,True,person,dog,,,A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains.,A dirt path with a young dog on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains.
4,391895,COCO_val2014_000000391895.jpg,4,object_swap,True,man,woman,,,A man in a red shirt and a red hat is on a motorcycle on a hill side.,A woman in a red shirt and a red hat is on a motorcycle on a hill side.
5,60623,COCO_val2014_000000060623.jpg,0,object_swap,True,girl,boy,,,A young girl inhales with the intent of blowing out a candle.,A young boy inhales with the intent of blowing out a candle.
6,60623,COCO_val2014_000000060623.jpg,1,object_swap,True,girl,boy,,,A young girl is preparing to blow out her candle.,A young boy is preparing to blow out her candle.
7,60623,COCO_val2014_000000060623.jpg,2,object_swap,True,kid,adult,,,A kid is to blow out the single candle in a bowl of birthday goodness.,A adult is to blow out the single candle in a bowl of birthday goodness.
8,60623,COCO_val2014_000000060623.jpg,3,object_swap,True,Girl,Boy,,,Girl blowing out the candle on an ice-cream,Boy blowing out the candle on an ice-cream
9,60623,COCO_val2014_000000060623.jpg,4,object_swap,True,girl,boy,,,A little girl is getting ready to blow out a candle on a small dessert.,A little boy is getting ready to blow out a candle on a small dessert.
10,483108,COCO_val2014_000000483108.jpg,0,object_swap,True,man,woman,,,A man on a bicycle riding next to a train,A woman on a bicycle riding next to a train
11,483108,COCO_val2014_000000483108.jpg,1,object_swap,True,person,dog,,,A person is riding a bicycle but there is a train in the background.,A dog is riding a bicycle but there is a train in the background.
12,483108,COCO_val2014_000000483108.jpg,2,object_swap,True,train,truck,,,a red and white train and a man riding a bicycle,a red and white truck and a man riding a bicycle
13,483108,COCO_val2014_000000483108.jpg,3,object_swap,True,bike,horse,,,a guy that is riding his bike next to a train,a guy that is riding his horse next to a train
14,483108,COCO_val2014_000000483108.jpg,4,object_swap,True,man,woman,,,A man riding a bike past a train traveling along tracks.,A woman riding a bike past a train traveling along tracks.
21,386164,COCO_val2014_000000386164.jpg,1,object_swap,True,table,bench,,,The table is full of wooden spoons and utensils.,The bench is full of wooden spoons and utensils.
22,386164,COCO_val2014_000000386164.jpg,2,object_swap,True,table,bench,,,A wood table holding an assortment of wood cooking utensils.,A wood bench holding an assortment of wood cooking utensils.
24,386164,COCO_val2014_000000386164.jpg,4,object_swap,True,table,bench,,,Wooden spoons are lined up on a table,Wooden spoons are lined up on a bench
25,223648,COCO_val2014_000000223648.jpg,0,object_swap,True,table,bench,,,Multiple wooden spoons are shown on a table top.,Multiple wooden spoons are shown on a bench top.
26,223648,COCO_val2014_000000223648.jpg,1,object_swap,True,table,bench,,,A table surrounded by chairs and filled with cooking utensils.,A bench surrounded by chairs and filled with cooking utensils.
27,223648,COCO_val2014_000000223648.jpg,2,object_swap,True,table,bench,,,Wooden spoons laid out across a kitchen table.,Wooden spoons laid out across a kitchen bench.
28,223648,COCO_val2014_000000223648.jpg,3,object_swap,True,table,bench,,,Wooden spoons and forks are all over a table.,Wooden spoons and forks are all over a bench.
29,223648,COCO_val2014_000000223648.jpg,4,object_swap,True,table,bench,,,A table and chairs with wooden kitchen tools on top.,A bench and chairs with wooden kitchen tools on top.
41,462565,COCO_val2014_000000462565.jpg,1,object_swap,True,bike,horse,,,A group of people are riding bikes down the street in a bike lane,A group of people are riding bikes down the street in a horse lane
42,462565,COCO_val2014_000000462565.jpg,2,object_swap,True,bike,horse,,,bike riders passing Burger King in city street,horse riders passing Burger King in city street
43,462565,COCO_val2014_000000462565.jpg,3,object_swap,True,bike,horse,,,A group of bicyclists are riding in the bike lane.,A group of bicyclists are riding in the horse lane.
44,462565,COCO_val2014_000000462565.jpg,4,object_swap,True,bike,horse,,,"Bicyclists on a city street, most not using the bike lane","Bicyclists on a city street, most not using the horse lane"
55,1146,COCO_val2014_000000001146.jpg,0,object_swap,True,man,woman,,,A young man wearing black attire and a flowered tie is standing and smiling.,A young woman wearing black attire and a flowered tie is standing and smiling.
56,1146,COCO_val2014_000000001146.jpg,1,object_swap,True,man,woman,,,A man with glasses and his eyes closed dressed in a black shirt and a necktie.,A woman with glasses and his eyes closed dressed in a black shirt and a necktie.
57,1146,COCO_val2014_000000001146.jpg,2,object_swap,True,man,woman,,,A man in a green tie with his eyes closed.,A woman in a green tie with his eyes closed.
58,1146,COCO_val2014_000000001146.jpg,3,object_swap,True,man,woman,,,Smiling man wearing black shirt and pale green tie.,Smiling woman wearing black shirt and pale green tie.
59,1146,COCO_val2014_000000001146.jpg,4,object_swap,True,person,dog,,,A person that is dressed up very nicely.,A dog that is dressed up very nicely.
