row_id,image_id,filename,caption_index,perturbation,applied,source,target,template_id,template_name,caption_original,caption_corrupted
0,391895,COCO_val2014_000000391895.jpg,0,attribute_spatial_swap,True,red,blue,,,A man with a red helmet on a small moped on a dirt road.,A man with a blue helmet on a small moped on a dirt road.
1,391895,COCO_val2014_000000391895.jpg,1,attribute_spatial_swap,True,on,under,,,Man riding a motor bike on a dirt road on the countryside.,Man riding a motor bike under a dirt road on the countryside.
2,391895,COCO_val2014_000000391895.jpg,2,attribute_spatial_swap,True,on,under,,,A man riding on the back of a motorcycle.,A man riding under the back of a motorcycle.
3,391895,COCO_val2014_000000391895.jpg,3,attribute_spatial_swap,True,on,under,,,A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains.,A dirt path with a young person under a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains.
4,391895,COCO_val2014_000000391895.jpg,4,attribute_spatial_swap,True,in,outside,,,A man in a red shirt and a red hat is on a motorcycle on a hill side.,A man outside a red shirt and a red hat is on a motorcycle on a hill side.
7,60623,COCO_val2014_000000060623.jpg,2,attribute_spatial_swap,True,in,outside,,,A kid is to blow out the single candle in a bowl of birthday goodness.,A kid is to blow out the single candle outside a bowl of birthday goodness.
8,60623,COCO_val2014_000000060623.jpg,3,attribute_spatial_swap,True,on,under,,,Girl blowing out the candle on an ice-cream,Girl blowing out the candle under an ice-cream
9,60623,COCO_val2014_000000060623.jpg,4,attribute_spatial_swap,True,on,under,,,A little girl is getting ready to blow out a candle on a small dessert.,A little girl is getting ready to blow out a candle under a small dessert.
10,483108,COCO_val2014_000000483108.jpg,0,attribute_spatial_swap,True,on,under,,,A man on a bicycle riding next to a train,A man under a bicycle riding next to a train
11,483108,COCO_val2014_000000483108.jpg,1,attribute_spatial_swap,True,in,outside,,,A person is riding a bicycle but there is a train in the background.,A person is riding a bicycle but there is a train outside the background.
12,483108,COCO_val2014_000000483108.jpg,2,attribute_spatial_swap,True,red,blue,,,a red and white train and a man riding a bicycle,a blue and white train and a man riding a bicycle
13,483108,COCO_val2014_000000483108.jpg,3,attribute_spatial_swap,True,next to,far from,,,a guy that is riding his bike next to a train,a guy that is riding his bike far from a train
15,384213,COCO_val2014_000000384213.jpg,0,attribute_spatial_swap,True,on,under,,,A kitchen is shown with a variety of items on the counters.,A kitchen is shown with a variety of items under the counters.
19,384213,COCO_val2014_000000384213.jpg,4,attribute_spatial_swap,True,near,far from,,,Glasses and bottles are placed near a kitchen sink.,Glasses and bottles are placed far from a kitchen sink.
20,386164,COCO_val2014_000000386164.jpg,0,attribute_spatial_swap,True,on top of,under,,,A wooden ball on top of a wooden stick.,A wooden ball under a wooden stick.
23,386164,COCO_val2014_000000386164.jpg,3,attribute_spatial_swap,True,on,under,,,A selection of wooden kitchen tools on a counter.,A selection of wooden kitchen tools under a counter.
24,386164,COCO_val2014_000000386164.jpg,4,attribute_spatial_swap,True,on,under,,,Wooden spoons are lined up on a table,Wooden spoons are lined up under a table
25,223648,COCO_val2014_000000223648.jpg,0,attribute_spatial_swap,True,on,under,,,Multiple wooden spoons are shown on a table top.,Multiple wooden spoons are shown under a table top.
28,223648,COCO_val2014_000000223648.jpg,3,attribute_spatial_swap,True,over,under,,,Wooden spoons and forks are all over a table.,Wooden spoons and forks are all under a table.
29,223648,COCO_val2014_000000223648.jpg,4,attribute_spatial_swap,True,on,under,,,A table and chairs with wooden kitchen tools on top.,A table and chairs with wooden kitchen tools under top.
30,403385,COCO_val2014_000000403385.jpg,0,attribute_spatial_swap,True,in,outside,,,A bathroom that has a broken wall in the shower.,A bathroom that has a broken wall outside the shower.
33,403385,COCO_val2014_000000403385.jpg,3,attribute_spatial_swap,True,in,outside,,,a shower toilet and sink in a basement bathroom,a shower toilet and sink outside a basement bathroom
35,294832,COCO_val2014_000000294832.jpg,0,attribute_spatial_swap,True,next to,far from,,,A bathroom with an enclosed shower next to a sink and a toilet.,A bathroom with an enclosed shower far from a sink and a toilet.
37,294832,COCO_val2014_000000294832.jpg,2,attribute_spatial_swap,True,in,outside,,,"There are a toilet, a sink, and a shower stall in a large bathroom.","There are a toilet, a sink, and a shower stall outside a large bathroom."
38,294832,COCO_val2014_000000294832.jpg,3,attribute_spatial_swap,True,in,outside,,,"A bathroom featuring a walk in shower, mirror, sink and toilet.","A bathroom featuring a walk outside shower, mirror, sink and toilet."
39,294832,COCO_val2014_000000294832.jpg,4,attribute_spatial_swap,True,in,outside,,,"Bathroom with a shower, sink, and toilet in it.","Bathroom with a shower, sink, and toilet outside it."
40,462565,COCO_val2014_000000462565.jpg,0,attribute_spatial_swap,True,on,under,,,people on bicycles ride down a busy street,people under bicycles ride down a busy street
41,462565,COCO_val2014_000000462565.jpg,1,attribute_spatial_swap,True,in,outside,,,A group of people are riding bikes down the street in a bike lane,A group of people are riding bikes down the street outside a bike lane
42,462565,COCO_val2014_000000462565.jpg,2,attribute_spatial_swap,True,in,outside,,,bike riders passing Burger King in city street,bike riders passing Burger King outside city street
43,462565,COCO_val2014_000000462565.jpg,3,attribute_spatial_swap,True,in,outside,,,A group of bicyclists are riding in the bike lane.,A group of bicyclists are riding outside the bike lane.
44,462565,COCO_val2014_000000462565.jpg,4,attribute_spatial_swap,True,on,under,,,"Bicyclists on a city street, most not using the bike lane","Bicyclists under a city street, most not using the bike lane"
47,436141,COCO_val2014_000000436141.jpg,2,attribute_spatial_swap,True,in,outside,,,"A toilet, sink and mirror in the bathroom","A toilet, sink and mirror outside the bathroom"
49,436141,COCO_val2014_000000436141.jpg,4,attribute_spatial_swap,True,white,black,,,A white toilet sitting next to a sink.,A black toilet sitting next to a sink.
50,192440,COCO_val2014_000000192440.jpg,0,attribute_spatial_swap,True,in,outside,,,A clean bathroom is seen in this image.,A clean bathroom is seen outside this image.
51,192440,COCO_val2014_000000192440.jpg,1,attribute_spatial_swap,True,white,black,,,A bathroom with a white toilet and large shelf full of stuff.,A bathroom with a black toilet and large shelf full of stuff.
52,192440,COCO_val2014_000000192440.jpg,2,attribute_spatial_swap,True,in,outside,,,some shelves filled with a bunch of different items in the bathroom,some shelves filled with a bunch of different items outside the bathroom
54,192440,COCO_val2014_000000192440.jpg,4,attribute_spatial_swap,True,in,outside,,,A shelf with hygiene products in a bathroom.,A shelf with hygiene products outside a bathroom.
55,1146,COCO_val2014_000000001146.jpg,0,attribute_spatial_swap,True,black,white,,,A young man wearing black attire and a flowered tie is standing and smiling.,A young man wearing white attire and a flowered tie is standing and smiling.
56,1146,COCO_val2014_000000001146.jpg,1,attribute_spatial_swap,True,in,outside,,,A man with glasses and his eyes closed dressed in a black shirt and a necktie.,A man with glasses and his eyes closed dressed outside a black shirt and a necktie.
57,1146,COCO_val2014_000000001146.jpg,2,attribute_spatial_swap,True,in,outside,,,A man in a green tie with his eyes closed.,A man outside a green tie with his eyes closed.
58,1146,COCO_val2014_000000001146.jpg,3,attribute_spatial_swap,True,black,white,,,Smiling man wearing black shirt and pale green tie.,Smiling man wearing white shirt and pale green tie.
60,559665,COCO_val2014_000000559665.jpg,0,attribute_spatial_swap,True,Black,White,,,Black and white photograph of two men on motorcycles.,White and white photograph of two men on motorcycles.
62,559665,COCO_val2014_000000559665.jpg,2,attribute_spatial_swap,True,on,under,,,Two men are at an intersection on motorcycles.,Two men are at an intersection under motorcycles.
63,559665,COCO_val2014_000000559665.jpg,3,attribute_spatial_swap,True,on,under,,,The man are driving side by side on their motorcycles.,The man are driving side by side under their motorcycles.
64,559665,COCO_val2014_000000559665.jpg,4,attribute_spatial_swap,True,on,under,,,Two men on motorcycles at a stop light,Two men under motorcycles at a stop light
65,394240,COCO_val2014_000000394240.jpg,0,attribute_spatial_swap,True,in front of,behind,,,A row of motorcycles parked in front of a building.,A row of motorcycles parked behind a building.
66,394240,COCO_val2014_000000394240.jpg,1,attribute_spatial_swap,True,on,under,,,A bunch of motorcycles parked on the side of the road,A bunch of motorcycles parked under the side of the road
67,394240,COCO_val2014_000000394240.jpg,2,attribute_spatial_swap,True,in,outside,,,a back ally neighborhood with motor bikes in a row,a back ally neighborhood with motor bikes outside a row
68,394240,COCO_val2014_000000394240.jpg,3,attribute_spatial_swap,True,on,under,,,A number of motorbikes parked on an alley,A number of motorbikes parked under an alley
70,491497,COCO_val2014_000000491497.jpg,0,attribute_spatial_swap,True,white,black,,,A fluffy white chair that faces away fro a television.,A fluffy black chair that faces away fro a television.
71,491497,COCO_val2014_000000491497.jpg,1,attribute_spatial_swap,True,in,outside,,,A pillow covered reading chair in the corner of the living room,A pillow covered reading chair outside the corner of the living room
72,491497,COCO_val2014_000000491497.jpg,2,attribute_spatial_swap,True,on,under,,,The living room is empty with the television on.,The living room is empty with the television under.
73,491497,COCO_val2014_000000491497.jpg,3,attribute_spatial_swap,True,White,Black,,,White ornate seat in nicely decorated room with television.,Black ornate seat in nicely decorated room with television.
74,491497,COCO_val2014_000000491497.jpg,4,attribute_spatial_swap,True,white,black,,,"A white chair, books and shelves and a tv on in this room.","A black chair, books and shelves and a tv on in this room."
75,184791,COCO_val2014_000000184791.jpg,0,attribute_spatial_swap,True,on top of,under,,,A painting of a table with fruit on top of it.,A painting of a table with fruit under it.
79,184791,COCO_val2014_000000184791.jpg,4,attribute_spatial_swap,True,on,under,,,A painting that has a gold frame on it.,A painting that has a gold frame under it.
